trialNumber,subid,condition,pre_post,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4
1,PLR110,anticipated_w,pre,1000,4838,1,1,3652.716,175.055,580.6748,797.2042,813.5361
2,PLR110,anticipated_w,pre,1003,4810,2,1,3779.834,102.9076,407.8446,412.4475,436.9853
3,PLR110,anticipated_w,pre,1002,4808,3,1,3865.328,287.6027,332.2308,320.2224,-57.7146
4,PLR110,anticipated_b,pre,1002,4812,1,0,3604.692,69.0937,401.1441,535.2156,307.4509
5,PLR110,anticipated_w,pre,1002,4810,4,1,3021.652,168.6967,611.4509,775.7997,1105.7304
6,PLR110,anticipated_b,pre,1003,4812,2,0,3417.0596,-226.5693,250.5707,473.14,501.7051
7,PLR110,unexpected_b,pre,1002,4810,1,0,3529.418,186.8572,384.6324,479.1429,365.3803
8,PLR110,anticipated_w,pre,1002,4810,5,1,3752.306,-277.7724,-41.6821,141.7129,219.0806
9,PLR110,anticipated_w,pre,1002,4812,6,0,3971.052,-255.4953,-65.1381,-397.6108,-462.6507
10,PLR110,unexpected_w,pre,1003,4808,2,0,3522.2763,-101.1533,227.7153,135.5094,178.48
11,PLR110,unexpected_b,pre,1003,4812,3,0,3028.996,-103.3426,213.8464,180.4515,578.7057
12,PLR110,anticipated_b,pre,1003,4810,3,0,3376.678,-259.4784,-183.7431,-27.0982,386.4628
13,PLR110,anticipated_w,pre,1002,4810,7,1,2155.764,387.9713,451.8599,595.1415,718.6373
14,PLR110,anticipated_b,pre,1003,4812,4,1,2786.13,-99.9861,102.4057,400.8973,450.2881
15,PLR110,unexpected_b,pre,1003,4810,4,0,3496.506,403.4793,-28.8491,-427.9829,-66.3211
16,PLR110,anticipated_w,pre,1002,4810,8,1,2553.2444,62.451,185.1611,197.8922,127.8648
17,PLR110,unexpected_w,pre,1003,4810,5,0,2424.8516,-203.694,332.9551,533.1757,367.8627
18,PLR110,anticipated_w,pre,1002,4810,9,1,1928.773,-87.9096,352.6744,651.79,666.1954
19,PLR110,unexpected_w,pre,1002,4808,6,0,2073.8601,-212.0985,197.3878,485.9403,792.4844
20,PLR110,unexpected_w,pre,1003,4810,7,0,2855.336,-184.4702,184.0149,100.1409,67.4792
21,PLR110,anticipated_b,pre,1003,4810,5,0,2816.3704,-157.5406,244.4867,476.5939,220.1317
22,PLR110,anticipated_w,pre,1003,4812,10,1,3094.2,-249.8513,-77.679,-115.555,-83.221
23,PLR110,anticipated_w,post,1002,4812,11,0,2610.87,57.1762,319.2897,291.2371,257.4031
24,PLR110,anticipated_w,post,1002,4810,12,1,2110.2604,306.4224,567.3047,508.6808,226.2312
25,PLR110,anticipated_w,post,1002,4810,13,0,2498.866,-89.074,-91.8555,-116.1622,-51.0257
26,PLR110,anticipated_b,pre,1002,4810,6,0,2280.04,261.2667,240.6449,71.168,267.1974
27,PLR110,unexpected_w,pre,1002,4810,8,0,2795.206,-19.4014,-173.3173,-211.9329,124.0272
28,PLR110,anticipated_w,post,1002,4810,14,0,2588.666,125.3151,234.8991,29.9622,-184.3404
29,PLR110,unexpected_b,pre,1002,4810,9,0,1782.796,202.8343,704.1494,891.7838,585.5359
30,PLR110,anticipated_b,pre,1002,4808,7,0,1858.15,-35.7172,560.2702,546.7155,664.058
31,PLR110,unexpected_b,pre,1003,4814,10,0,2713.764,21.5769,-366.2426,-369.0161,-38.722
32,PLR110,anticipated_w,post,1002,4812,15,0,2355.152,175.577,177.6853,-85.2129,268.6316
33,PLR110,anticipated_w,post,1002,4810,16,0,2365.125,101.1586,229.0956,-198.207,-637.5389
34,PLR110,anticipated_b,pre,1002,4810,8,1,1972.548,246.6747,604.3175,547.7839,330.536
35,PLR110,anticipated_b,pre,1003,4808,9,0,2038.414,486.5125,359.7688,294.6637,-249.8048
36,PLR110,anticipated_b,pre,1003,4812,10,0,2079.364,173.6087,-109.5846,-290.6098,-85.9102
37,PLR110,anticipated_b,post,1003,4810,11,0,2404.03,21.304,142.8713,-27.9082,-536.009
38,PLR110,unexpected_w,post,1003,4810,11,0,2458.98,-54.5746,-307.7903,-660.8518,-431.2636
39,PLR110,anticipated_b,post,1003,4810,12,0,1809.8788,59.1885,323.6023,459.3712,46.5981
40,PLR110,anticipated_w,post,1003,4810,17,0,1992.682,245.2508,221.3159,-180.1358,-23.5791
41,PLR110,unexpected_w,post,1003,4812,12,0,1977.104,68.5263,126.0378,4.5368,-149.3162
42,PLR110,anticipated_b,post,1003,4812,13,0,1691.432,87.6562,194.5617,330.2739,574.0365
43,PLR110,unexpected_b,post,1002,4812,13,0,2027.072,354.1444,217.0015,-119.5804,-358.3577
44,PLR110,unexpected_b,post,1003,4810,14,0,2486.716,-5.9597,93.3264,-167.5994,-64.5542
45,PLR110,anticipated_b,post,1003,4810,14,0,2558.814,90.3446,110.852,108.0831,-49.6669
46,PLR110,anticipated_b,post,1003,4808,15,0,2990.224,-204.6085,-524.5118,-772.703,-696.9929
47,PLR110,anticipated_w,post,1003,4810,18,0,2772.758,-252.7454,-461.0458,-541.0794,-167.821
48,PLR110,unexpected_w,post,1002,4808,15,0,1897.788,103.9914,372.1931,61.1469,-255.393
49,PLR110,unexpected_w,post,1002,4810,16,0,1586.168,345.5274,573.1009,672.895,15.645
50,PLR110,anticipated_w,post,1002,4810,19,0,1718.226,-158.4718,-68.3016,98.6269,95.711
51,PLR110,anticipated_b,post,1002,4808,16,0,1953.3083,-172.26,170.1244,415.7211,351.3597
52,PLR110,anticipated_b,post,1002,4812,17,0,2765.396,51.4191,-188.1313,-938.0073,-1360.751
53,PLR110,unexpected_b,post,1002,4810,17,0,2272.668,243.6145,-188.8511,-232.6281,26.8194
54,PLR110,unexpected_b,post,1002,4812,18,0,2241.195,130.4521,211.0844,430.0067,484.5571
55,PLR110,anticipated_b,post,1003,4810,18,0,2512.436,180.7573,161.7453,-428.1742,-515.9633
56,PLR110,unexpected_b,post,1002,4810,19,0,2670.156,333.7663,42.5184,-286.0426,-573.4711
57,PLR110,anticipated_w,post,1003,4810,20,1,2130.678,240.3199,241.3157,-154.7011,-201.9028
58,PLR110,anticipated_b,post,1003,4812,19,0,2044.0919,-670.8529,-277.323,106.0951,388.4964
59,PLR110,unexpected_w,post,1002,4812,20,0,2369.3122,91.3685,-222.9323,-424.0706,-183.6967
60,PLR110,anticipated_b,post,1002,4810,20,0,1591.338,466.9347,454.3953,582.1137,432.0528
1,PLR111,anticipated_b,pre,1001,4838,1,1,4340.408,-163.9458,318.4659,318.5857,300.3168
2,PLR111,anticipated_w,pre,1002,4812,1,1,4608.638,-0.31867,250.3431,360.5532,387.6183
3,PLR111,unexpected_w,pre,1002,4810,1,0,4347.604,-7.3567,27.8407,-251.583,104.5199
4,PLR111,unexpected_w,pre,1002,4812,2,0,4130.7345,256.4559,46.1794,368.4735,355.9651
5,PLR111,anticipated_b,pre,1003,4812,2,0,3991.188,316.7259,423.1439,595.7868,695.3918
6,PLR111,unexpected_b,pre,1003,4810,3,0,3814.587,-39.4757,256.2301,318.8752,707.9844
7,PLR111,anticipated_b,pre,1002,4810,3,0,4086.254,247.6883,380.4412,521.933,629.038
