trialNumber,subid,condition,pre_post,cueTime,bgcTime,trialprog,feedback,feedback_time,baseline,window0,window1,window2,window3,window4
1,PLR110,anticipated_w,pre,1000,4838,1,1,6373,3729.992,98.3777,504.1361,720.2096,736.1508,714.8334
2,PLR110,anticipated_w,pre,1003,4810,2,1,6332,3785.5817,97.7208,402.3553,406.7082,430.8931,332.2437
3,PLR110,anticipated_w,pre,1002,4808,3,1,6334,3991.0239,162.2051,206.5286,193.8059,-183.5512,-166.5318
4,PLR110,anticipated_b,pre,1002,4812,1,0,NaN,3513.1594,161.5969,492.9793,626.5864,398.5969,380.8327
5,PLR110,anticipated_w,pre,1002,4810,4,1,6336,3036.3187,154.5594,597.2758,761.7716,1091.7275,1218.3321
6,PLR110,anticipated_b,pre,1003,4812,2,0,NaN,3311.3142,-109.3886,357.4589,578.7131,607.7404,654.162
7,PLR110,unexpected_w,pre,1002,4810,1,0,NaN,3569.0478,147.3198,345.761,439.6413,325.4942,331.6268
8,PLR110,anticipated_w,pre,1002,4810,5,1,6338,3784.1633,-310.0625,-72.7243,109.9186,187.4501,262.8922
9,PLR110,anticipated_w,pre,1002,4812,6,0,NaN,3905.8924,-190.0668,-0.10672,-333.1382,-397.5122,-470.0115
10,PLR110,unexpected_b,pre,1003,4808,2,0,NaN,3589.2539,-164.0945,161.3091,68.0444,112.0781,198.5318
11,PLR110,unexpected_w,pre,1003,4812,3,0,NaN,3011.494,-85.2041,231.4871,198.0921,597.3652,812.3393
12,PLR110,anticipated_b,pre,1003,4810,3,0,NaN,3275.6574,-158.9116,-81.7834,74.2103,488.3426,645.2156
13,PLR110,anticipated_w,pre,1002,4810,7,1,6335,2100.4661,444.1473,507.057,650.6158,773.6053,696.1212
14,PLR110,anticipated_b,pre,1003,4812,4,1,6334,2730.1912,-22.8919,160.6862,457.4096,506.3592,539.6262
15,PLR110,unexpected_w,pre,1003,4810,4,0,NaN,3609.498,291.3165,-85.5991,-540.6241,-178.4161,-12.8393
16,PLR110,anticipated_w,pre,1002,4810,8,1,6337,2537.9602,78.4915,200.4159,212.9495,143.294,180.7065
17,PLR110,unexpected_b,pre,1003,4810,5,0,NaN,2354.5151,-130.8654,403.7895,603.8609,437.7769,437.8579
