trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window0,window95,window190,window285,window380,window475,window570,window665,window760,window855,window950,window1045,window1140,window1235,window1330,window1425,window1520,window1615,window1710,window1805,window1900,window1995,window2090,window2185,window2280,window2375,window2470,window2565,window2660,window2755,window2850,window2945,window3040,window3135,window3230,window3325,window3420,window3515,window3610,window3705,window3800,window3895,window3990,window4085,window4180,window4275,window4370,window4465,window4560,window4655,window4750,window4845,window4940,window5035,window5130,window5225,window5320,window5415,window5510,window5605,window5700,window5795,window5890,window5985,window6080,window6175,window6270,window6365,window6460,window6555,window6650,window6745,window6840,window6935,window7030,window7125,window7220,window7315,window7410,window7505
1,PLR110,anticipated_w,1,pre,1st,1000,4838,1,1,3789.8014,-45.6926,-22.8168,-23.2899,-23.2541,-19.9489,7.2102,49.1255,102.3727,151.1199,204.2107,261.9928,325.2661,385.7016,432.4185,461.0778,481.8196,493.6837,503.8137,526.1352,562.0045,604.5817,648.658,665.4448,663.6305,643.4116,633.3552,647.0536,676.4539,702.875,713.2198,718.3487,722.4818,715.1063,710.366,682.4562,640.8296,622.367,630.501,652.3967,668.6767,669.6093,684.8192,541.006,-98.3145,-799.6964,-1282.2741,-1576.9285,-1749.497,-1843.9434,-1869.6269,-1836.0935,-1749.8701,-1638.2729,-1512.4974,-1374.2678,-1265.0646,-1272.1479,-1369.5157,-1484.1547,-1553.8801,-1524.0063,-1389.165,-1199.6607,-1012.6594,-845.349,-712.5178,-593.5969,-484.3299,-381.4094,-306.4636,-255.6092,-200.3924,-140.0157,-82.7131,-30.8983,-13.9408,-7.8288,0.41211,7.8667,13.1047
2,PLR110,anticipated_w,1,pre,1st,1003,4810,2,1,3859.1082,-79.181,-69.5918,-43.766,-14.9471,23.7974,47.0842,53.6001,67.085,100.0508,152.943,221.3224,293.1721,353.3386,401.0071,424.6775,398.5182,332.8178,285.5302,279.041,296.1875,326.0601,359.4561,385.4474,406.6602,419.7259,383.2703,289.4934,230.5756,241.9045,289.5935,340.0895,387.6198,414.0775,420.9384,404.9632,390.1142,390.3365,369.6152,277.8964,181.858,145.4564,145.6377,15.4287,-574.688,-1200.5007,-1605.9225,-1839.2911,-1963.603,-2022.0755,-2033.052,-2032.7422,-2023.0008,-1996.1763,-1926.2453,-1818.6499,-1741.8184,-1734.2056,-1755.1841,-1774.7753,-1738.6539,-1626.1278,-1449.5631,-1260.2503,-1096.7288,-960.0717,-851.8125,-756.7566,-664.6426,-580.8111,-499.5131,-423.9688,-347.8275,-271.8948,-191.4589,-125.0687,-79.1732,-36.7898,2.6398,19.2893,-4.4269
3,PLR110,anticipated_w,1,pre,1st,1002,4808,3,1,4137.6316,-44.8884,-25.3904,-13.4806,-18.1301,-19.0385,3.9715,38.2974,59.161,82.4666,88.3438,97.1006,100.5804,84.0836,79.8869,94.5806,77.7862,20.0283,-22.5774,3.1809,64.7008,107.2285,122.5254,121.6418,103.1139,88.9607,89.9478,79.9369,19.904,-66.9441,-189.577,-309.902,-389.3346,-408.3816,-383.273,-335.1112,-282.2821,-262.8591,-289.1347,-313.4624,-320.6857,-307.5066,-275.5241,-373.9768,-989.9573,-1637.504,-2049.0168,-2268.8918,-2365.7811,-2402.5678,-2389.6612,-2381.0946,-2406.2871,-2444.6711,-2500.3076,-2551.9147,-2589.3846,-2603.8161,-2596.1584,-2569.4211,-2514.3367,-2407.6248,-2247.5966,-2054.5096,-1863.2746,-1698.5937,-1552.7345,-1422.169,-1308.9985,-1220.6571,-1162.345,-1116.4917,-1067.9544,-1018.629,-994.2817,-1014.4755,-1071.8232,-1129.3565,-1174.7578,-1181.5614,-1164.2751
4,PLR110,anticipated_b,0,pre,1st,1002,4812,1,0,3623.7171,-129.9454,-98.3947,-77.9662,-57.7812,-19.2898,39.6511,112.8688,186.8348,249.0333,292.9422,324.6367,357.3279,392.632,421.6648,445.9891,426.0801,357.0469,333.6957,354.5465,408.976,484.5142,544.7219,567.8395,553.4803,531.7047,522.0093,518.8684,518.6465,491.5155,422.2204,326.4381,262.2879,234.0223,249.1996,288.0631,329.9276,353.7566,340.5974,283.8594,220.9893,200.7914,235.552,315.3123,383.8414,440.3084,508.3679,592.0699,681.6169,764.6069,834.1013,899.4968,980.7869,1064.7366,1142.5003,1216.8637,1279.0264,1338.1248,1383.0942,1303.4207,724.1426,-3.1988,-521.0865,-805.4148,-940.4272,-1004.2889,-1048.5297,-1069.2566,-1057.3472,-1029.7434,-1006.1607,-1028.3064,-1085.8866,-1141.0049,-1152.2435,-1116.1852,-1056.4047,-1000.286,-972.6629,-953.3867,-932.9241
5,PLR110,anticipated_w,1,pre,1st,1002,4810,4,1,3141.1724,9.3633,-106.3082,-173.9943,-168.7793,-89.9416,34.2287,154.6771,247.2724,286.6069,297.9713,313.4781,349.2282,399.3531,460.0658,520.4237,561.768,590.76,605.8763,576.3518,541.8159,550.8833,586.8576,619.8607,619.8138,605.1694,610.5714,660.7043,717.0791,774.2536,817.494,859.8182,886.5981,911.6379,935.4219,952.9845,976.8247,1020.2017,1067.9205,1106.9777,1140.5602,1163.5942,1164.5081,988.8816,334.132,-337.456,-770.3299,-1029.9233,-1193.294,-1275.507,-1313.9713,-1323.811,-1292.9675,-1214.7192,-1110.1424,-1006.0236,-956.0721,-966.3591,-994.8263,-988.6631,-966.0829,-887.5908,-746.1437,-579.3956,-441.1416,-320.1142,-203.1612,-94.6308,10.9588,101.0827,176.8667,222.1851,239.1258,253.4713,270.6618,279.703,278.1312,289.8675,319.3157,350.5806,380.2162
6,PLR110,anticipated_b,0,pre,1st,1003,4812,2,0,3186.2588,53.4695,72.5234,84.5294,76.1961,9.6247,-94.9906,-126.5628,-75.7011,18.8679,111.4622,199.7285,284.2452,358.6506,415.8357,475.5839,522.4742,570.41,626.5525,669.3024,686.1381,700.5358,714.4813,727.2191,730.4888,729.2297,734.4722,736.8794,700.191,647.7076,618.8891,620.7671,646.5417,672.7484,696.6308,735.2404,781.4517,815.5205,821.9569,782.6413,752.0927,770.2323,824.256,894.5282,968.2947,1011.3739,1053.3522,1108.6494,1177.146,1259.0554,1336.3343,1405.4814,1474.0169,1537.1158,1595.6088,1632.8033,1648.3618,1664.8377,1678.5929,1594.7063,995.9982,204.6434,-350.4354,-653.374,-796.8706,-846.8306,-836.2405,-771.7027,-700.2351,-662.0432,-618.3396,-532.5709,-418.6853,-299.0585,-205.7669,-191.6508,-227.5874,-255.2886,-254.0022,-198.6283,-106.5803
7,PLR110,unexpected_b,0,pre,1st,1002,4810,1,0,3722.3166,-56.166,-16.2911,-5.8748,0.14034,20.8675,45.3215,36.6337,-4.3216,-38.5317,-42.5011,-17.1656,30.2241,80.8578,128.1183,176.1056,232.9354,288.578,325.4169,339.0644,330.5756,312.9598,291.7617,279.112,263.9746,241.7149,244.5885,270.3663,285.4394,313.459,359.8588,395.0937,363.4744,243.0759,118.2632,50.0138,20.7717,40.7515,94.2403,162.7408,233.9542,279.2489,319.349,369.6401,412.0475,457.8101,504.0279,558.1044,621.6101,687.9734,769.2232,861.0372,953.7946,1045.6201,1129.5847,1202.4479,1259.3607,1292.3892,1311.4944,1267.7,778.3373,86.5738,-410.9009,-696.5504,-849.3961,-925.6852,-967.1408,-992.5598,-975.94,-905.7485,-835.4827,-780.7774,-712.6027,-621.2256,-536.8855,-556.0602,-643.6368,-707.499,-731.8909,-719.8093,-676.8617
8,PLR110,anticipated_w,1,pre,1st,1002,4810,5,1,3482.357,145.9223,20.5918,-72.4688,-101.7244,-60.7482,4.7971,35.4538,6.5663,-30.397,-18.811,44.5992,118.9304,163.2229,192.3989,229.6855,252.1615,265.5511,303.1636,342.1128,368.062,406.6332,432.5639,430.8564,435.8816,447.2004,425.7613,383.4427,368.7188,380.9338,403.2981,420.5086,416.1673,417.0771,422.6817,454.5214,503.6313,556.0414,579.5655,573.5465,543.4177,513.2973,484.1998,291.4763,-314.619,-900.9663,-1277.2158,-1507.107,-1630.4116,-1680.5862,-1673.2067,-1647.2384,-1592.5632,-1512.0386,-1427.3966,-1364.5556,-1337.7194,-1365.8179,-1425.5057,-1446.3591,-1421.8093,-1322.6381,-1154.1908,-963.2499,-798.2258,-662.4386,-548.6773,-446.5581,-364.6661,-324.7027,-298.6611,-266.0343,-210.988,-125.8855,-38.3149,20.4997,61.3135,78.1923,86.5089,93.1166,91.4418
9,PLR110,anticipated_w,1,pre,2nd,1002,4812,6,0,3694.1497,34.5089,11.6887,-25.9065,-47.956,-49.8924,-25.4437,12.5897,57.4238,104.369,144.6833,190.1577,218.2114,219.2891,214.877,217.3601,219.8245,227.1866,232.4751,219.2785,154.1306,78.3316,18.9824,-64.7334,-132.153,-165.9983,-168.5249,-156.1624,-174.8511,-215.4443,-220.7782,-191.6246,-141.7894,-112.6675,-100.5878,-119.1879,-179.6786,-236.4822,-268.9052,-262.4477,-243.5066,-225.264,-224.4533,-377.1352,-957.7703,-1512.1731,-1849.233,-2008.5842,-2067.9502,-2082.2037,-2078.315,-2082.9817,-2096.7782,-2099.77,-2073.5237,-2000.3487,-1907.844,-1866.8491,-1901.9856,-1950.5646,-1956.0651,-1881.1454,-1742.5079,-1561.418,-1389.692,-1246.7504,-1139.7657,-1041.8559,-952.4691,-866.3899,-782.8486,-707.4694,-642.2859,-605.2811,-595.2746,-582.9924,-572.6332,-578.7823,-586.8331,-580.2041,-565.0751
10,PLR110,unexpected_w,1,pre,1st,1003,4808,2,0,3426.3048,157.4717,159.0638,147.6059,24.7739,-118.9307,-167.1786,-134.389,-72.6314,-27.6318,24.3261,114.3155,217.8909,311.5094,388.9196,420.5264,411.4357,376.5519,341.0288,324.9532,327.3207,336.9634,309.0754,291.5319,308.3894,306.4996,258.6843,193.5719,127.0454,91.5119,93.1554,119.3095,174.9821,228.0327,255.6885,278.2815,295.4736,319.3958,337.3915,358.7849,374.7901,348.1849,222.3736,-43.4447,-606.7992,-1152.6373,-1510.6714,-1701.4273,-1780.3607,-1805.7177,-1802.9054,-1792.3724,-1773.5851,-1738.9813,-1705.3948,-1678.2385,-1644.4481,-1592.0213,-1506.3661,-1384.4298,-1269.2099,-1169.2959,-1062.7996,-942.5463,-858.6255,-840.983,-818.8925,-763.3673,-692.8492,-629.3019,-586.4902,-570.5183,-570.1391,-564.1416,-527.1732,-463.4473,-415.3265,-397.4001,-385.1137,-355.9762,-333.3423
