trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window0,window380,window760,window1140,window1520,window1900,window2280,window2660,window3040,window3420,window3800,window4180,window4560,window4940,window5320,window5700,window6080,window6460,window6840,window7220
1,PLR110,anticipated_w,1,pre,1st,1000,4838,1,1,3789.8014,-28.756,34.9724,235.9906,440.3668,521.5905,645.5785,650.2274,714.2457,686.9979,643.5765,446.0778,-1352.9989,-1824.4311,-1446.9754,-1420.2795,-1280.3627,-658.3679,-285.6744,-66.7894,3.4183
2,PLR110,anticipated_w,1,pre,1st,1003,4810,2,1,3859.1082,-51.7159,47.974,192.2509,394.2519,298.4814,369.523,330.4651,315.0414,407.4506,304.4588,-69.9988,-1652.9851,-2027.6549,-1870.3369,-1750.5039,-1357.2859,-807.833,-462.6266,-166.6355,-4.9389
3,PLR110,anticipated_w,1,pre,1st,1002,4808,3,1,4137.6316,-25.4822,20.7162,92.1232,83.9872,16.6339,113.5347,69.4015,-239.3609,-351.9897,-296.5881,-489.8221,-2080.8199,-2395.0061,-2521.7613,-2570.6403,-2142.2506,-1495.0332,-1141.6083,-1025.0771,-1162.4051
4,PLR110,anticipated_b,0,pre,1st,1002,4812,1,0,3623.7171,-90.9088,80.4088,306.1591,421.4668,363.8675,537.5744,522.8034,375.2703,275.5222,299.4787,284.2176,556.0538,870.1692,1176.1147,1184.22,-568.2542,-1044.8035,-1037.7984,-1116.1428,-964.7223
5,PLR110,anticipated_w,1,pre,1st,1002,4810,4,1,3141.1724,-109.944,87.0471,311.9938,485.6236,578.5477,594.3608,648.6754,834.6771,944.3482,1084.0962,909.4973,-833.5884,-1301.3941,-1071.469,-978.8569,-662.83,-151.1916,184.9098,270.4993,335.1451
6,PLR110,anticipated_b,0,pre,1st,1003,4812,2,0,3186.2588,71.6283,-71.6826,154.008,443.3772,638.2113,718.1968,724.9956,633.6057,721.7493,792.9108,864.7038,1087.9852,1369.0772,1603.5668,1480.427,-399.7633,-788.3904,-557.3161,-231.1724,-203.1626
7,PLR110,unexpected_b,0,pre,1st,1002,4810,1,0,3722.3166,-19.4947,24.4347,-16.7566,154.7947,320.8651,286.8621,260.6259,357.7987,107.8721,133.2878,345.3007,535.714,818.4931,1159.5499,1159.9048,-468.3753,-965.2344,-808.2943,-589.8491,-708.7986
8,PLR110,anticipated_w,1,pre,1st,1002,4810,5,1,3482.357,-2.0714,-3.6112,28.9668,209.4805,319.8817,426.5152,406.1923,405.221,449.7261,562.9948,240.56,-1329.5664,-1648.0859,-1410.2765,-1414.7556,-1058.6975,-505.1603,-274.7942,-20.3715,87.3184
9,PLR110,anticipated_w,1,pre,2nd,1002,4812,6,0,3694.1497,-7.0292,-1.0949,164.4984,217.8543,207.9322,-25.2316,-166.4969,-192.154,-128.331,-252.7462,-449.0387,-1859.7966,-2085.1285,-2019.9054,-1918.8963,-1642.7905,-1094.7407,-749.4062,-589.0058,-577.6444
10,PLR110,unexpected_w,1,pre,1st,1003,4808,2,0,3426.3048,121.5958,-122.9654,82.7644,383.0655,342.4758,311.5371,221.1003,120.0248,264.4616,347.6649,-22.7951,-1536.6945,-1793.535,-1691.5819,-1437.4008,-1007.8902,-778.6364,-589.1066,-492.268,-367.8423
11,PLR110,unexpected_b,0,pre,1st,1003,4812,3,0,2877.1892,-66.6003,48.776,313.7318,353.5304,386.1089,274.1873,351.9503,446.5517,676.205,908.7317,1052.0913,1212.2079,1487.5835,1787.6453,1676.8874,-124.7906,-548.8811,-299.0049,-36.3576,62.3492
12,PLR110,anticipated_b,0,pre,1st,1003,4810,3,0,3152.3588,66.8952,-53.4582,-191.1333,7.6149,182.9113,149.0954,198.4471,355.5756,568.0734,749.1326,734.5184,899.0397,1171.4244,1489.4938,1362.8075,-590.4448,-1143.5647,-1036.2062,-1013.6167,-1034.7491
13,PLR110,anticipated_w,1,pre,2nd,1002,4810,7,1,2511.1195,-130.637,125.6919,190.1668,96.5519,40.909,240.1027,225.0392,232.3756,406.6202,402.8504,29.0011,-848.2231,-995.0535,-809.269,-810.9852,-309.5746,169.4771,505.7508,639.0373,490.1977
14,PLR110,anticipated_b,0,pre,1st,1003,4812,4,1,2670.8172,-10.4119,3.9105,203.5876,204.5991,213.4028,433.7058,545.5897,620.2807,535.3934,568.8815,813.032,1110.9884,1496.4403,1825.2959,1752.3751,-54.7482,-270.4966,129.4683,186.4866,272.1132
15,PLR110,unexpected_b,0,pre,1st,1003,4810,4,0,3895.2444,-70.4707,72.2426,-26.709,-233.8166,-685.0556,-905.8103,-800.3891,-697.7447,-506.3002,-318.8752,-290.7529,-209.4534,170.0568,522.1046,461.2119,-1337.5128,-1922.3118,-1887.5909,-1709.6756,-1501.3381
16,PLR110,anticipated_w,1,pre,2nd,1002,4810,8,1,2581.1645,-127.2252,117.5269,191.4727,139.1308,158.1287,184.8223,183.0959,74.2296,69.0495,164.6736,72.8437,-1006.8804,-1149.9393,-1025.7868,-793.0088,-512.5185,-170.4912,-19.2341,-34.0863,49.0093
17,PLR110,unexpected_w,1,pre,1st,1003,4810,5,0,2158.3843,-109.395,91.009,422.9978,590.7745,665.1903,727.2509,846.0468,810.198,582.4544,618.3927,473.7224,-706.2389,-925.3487,-796.6348,-585.1566,-277.2125,130.0629,265.0621,389.0913,310.0847
18,PLR110,anticipated_w,1,pre,2nd,1002,4810,9,1,1806.0811,-34.2074,19.9695,278.0751,398.6466,613.3347,713.5857,794.7416,911.7457,911.5396,576.9849,387.7877,-528.8205,-626.035,-520.249,-335.0819,31.4201,455.3551,702.4913,844.2816,788.2257
19,PLR110,unexpected_w,1,pre,2nd,1002,4808,6,0,1852.1672,48.7227,-52.4293,141.9744,395.7726,545.2054,634.8868,739.6301,836.8886,983.9978,1109.1913,866.9134,-414.5942,-488.8377,-275.7469,-158.281,230.6089,610.0349,824.6391,996.1115,1160.103
20,PLR110,unexpected_w,1,pre,2nd,1003,4810,7,0,2645.1667,20.5113,-32.3326,281.0384,454.8965,346.2128,284.8562,273.0618,280.9636,261.1984,369.0706,163.2691,-1147.9189,-1346.8738,-1228.834,-1025.103,-638.1924,-266.1625,-153.6134,-8.6049,16.8379
21,PLR110,anticipated_b,0,pre,1st,1003,4810,5,0,2635.3116,-9.4716,1.3277,190.4311,385.374,554.2861,676.1982,678.111,530.7516,437.1083,325.135,397.0609,545.0274,979.2621,1352.0492,1280.4682,-364.479,-722.4739,-492.4086,-358.0214,-194.2958
22,PLR110,anticipated_w,1,pre,2nd,1003,4812,10,1,2816.7822,-8.8393,1.8772,199.7568,217.8585,157.8527,182.4898,149.8582,156.9723,245.23,155.948,-64.8838,-1198.7897,-1355.762,-1192.2596,-979.0224,-667.7856,-234.3547,11.2927,-36.2178,-99.6036
23,PLR110,anticipated_w,1,post,3rd,1002,4812,11,0,2642.6486,-55.0335,50.8545,189.8689,357.56,239.4169,264.585,238.6032,325.8645,236.1265,146.1579,-151.8502,-1287.6228,-1462.597,-1387.3338,-1326.1859,-987.0415,-590.4123,-298.9126,-140.3342,-228.1123
24,PLR110,anticipated_w,1,post,3rd,1002,4810,12,1,2372.8442,-70.8844,61.6209,229.8494,249.2754,400.4713,453.0008,102.1374,195.1393,22.587,-248.4343,-381.6701,-1181.009,-1266.5894,-1258.2046,-1245.2134,-952.3233,-513.8131,-250.5711,-177.2331,-106.7438
25,PLR110,anticipated_w,1,post,3rd,1002,4810,13,0,2409.2024,10.5727,-13.3347,-16.1868,76.0947,-60.4876,-32.9136,-3.9886,-29.6686,99.4268,-2.6697,-329.1536,-1195.3257,-1263.4866,-1220.109,-1200.2542,-839.2341,-497.4165,-300.0843,-106.7533,-164.5648
26,PLR110,anticipated_b,0,pre,2nd,1002,4810,6,0,2527.276,-34.2556,31.994,91.7073,117.1612,-151.8708,-202.391,-171.3764,-123.5849,35.299,71.8463,82.1674,287.9944,718.7419,1166.6208,1241.1766,-321.3641,-650.5648,-413.108,-329.1976,-201.869
27,PLR110,unexpected_w,1,pre,2nd,1002,4810,8,0,2766.257,32.1648,-35.3789,55.3908,-10.6339,-311.7625,-331.8435,-95.0121,-25.9471,115.9769,262.6311,138.9603,-1190.9416,-1301.2437,-1160.5045,-1140.2103,-774.9121,-388.6912,-257.5823,-239.6297,-380.6303
28,PLR110,anticipated_w,1,post,3rd,1002,4810,14,0,2691.0802,-78.6475,72.9206,115.4097,151.2061,128.3423,77.3927,-116.2886,-301.205,-297.1539,-261.3502,-554.5046,-1431.8434,-1497.8306,-1394.0804,-1239.452,-840.3909,-499.5686,-265.4156,-227.6587,-489.77
29,PLR110,unexpected_b,0,pre,2nd,1002,4810,9,0,1940.7279,-84.6125,71.7822,296.4902,525.9825,668.1674,706.1556,811.5948,590.1366,567.3285,230.4891,282.6348,599.8307,1051.295,1507.1097,1456.7532,-192.2554,-504.4561,-329.9279,-173.8641,-71.5132
30,PLR110,anticipated_b,0,pre,2nd,1002,4808,7,0,1754.491,-79.261,55.6951,457.0426,674.0591,720.7521,631.7666,661.2499,684.6635,720.0181,848.5338,878.9012,1078.554,1436.9185,1847.4216,1860.4926,294.8675,-35.4158,47.3411,282.1328,553.3533
31,PLR110,unexpected_b,0,pre,2nd,1003,4814,10,0,2769.8296,-24.9586,26.3212,-35.8777,-321.586,-672.6577,-555.9932,-366.3217,-230.0322,-53.855,-93.4793,-181.592,92.0746,551.3901,889.7456,835.3469,-763.8769,-1068.9856,-1004.4963,-1085.8104,-936.7853
32,PLR110,anticipated_w,1,post,3rd,1002,4812,15,0,2511.6641,-13.3077,9.6278,121.6292,74.3296,-68.1851,-246.7799,-255.9858,-134.203,118.5204,195.1929,138.7553,-1024.0317,-1175.8656,-1135.1443,-985.1105,-780.0278,-344.9262,-197.3423,-144.9923,-242.1165
33,PLR110,anticipated_w,1,post,4th,1002,4810,16,0,2442.2611,-40.2792,37.4662,140.6774,193.6877,107.814,-46.353,-377.8805,-568.3772,-673.4237,-809.1383,-942.7528,-1458.2423,-1517.4266,-1524.9885,-1514.1117,-1236.9399,-907.7072,-751.4232,-625.6601,-589.1495
34,PLR110,anticipated_b,0,pre,2nd,1002,4810,8,1,2179.1092,-75.7079,65.252,287.0996,484.7213,333.9951,442.7303,384.2784,7.4993,136.0356,193.8145,333.4732,775.1667,1196.1893,1572.4242,1518.2281,-56.4229,-195.7593,151.1519,365.1951,444.0085
35,PLR110,anticipated_b,0,pre,2nd,1003,4808,9,0,2515.4596,-76.8018,75.232,-7.7327,-173.9677,-87.104,-121.1009,-144.579,-484.0273,-735.9746,-786.5876,-845.3962,-608.2376,-88.7976,368.0527,492.8446,-793.7005,-934.9947,-775.5019,-693.1745,-588.4299
36,PLR110,anticipated_b,0,pre,2nd,1003,4812,10,0,2232.0563,-43.5938,36.5478,58.9962,-206.522,-449.3824,-506.6468,-424.2949,-346.8463,-281.4888,-144.8664,42.3091,249.634,573.8658,1032.4177,1074.1962,-432.1421,-812.4703,-684.4078,-598.8557,-481.5898
37,PLR110,anticipated_b,0,post,3rd,1003,4810,11,0,2402.0766,-81.0407,74.9822,137.9616,123.8404,164.5907,41.925,-4.6229,-300.9595,-586.4311,-549.2064,-439.1109,-117.7333,360.1131,807.9182,786.0841,-788.763,-1165.716,-1014.1619,-630.2628,-468.5819
38,PLR110,unexpected_w,1,post,3rd,1003,4810,11,0,2381.7606,-54.1348,39.9594,134.609,-117.5224,-484.5141,-548.7729,-643.6821,-467.6025,-356.6628,-326.9033,-251.5083,-1120.8073,-1243.9823,-1157.97,-1045.718,-774.9844,-493.9863,-436.1213,-554.819,-593.1167
39,PLR110,anticipated_b,0,post,3rd,1003,4810,12,0,1834.4978,-58.564,43.5727,237.6769,323.1661,286.7846,341.2467,482.314,486.2029,84.6026,-253.2779,-355.1318,-185.637,379.4286,803.1896,859.1485,-405.9742,-436.619,-193.6559,-261.862,-238.6412
40,PLR110,anticipated_w,1,post,4th,1003,4810,17,0,2227.4705,-68.3706,65.6432,49.2701,61.262,-116.0612,-390.0183,-437.7616,-383.5676,-297.6892,-173.1973,-134.6031,-1015.4664,-1051.7639,-924.3803,-642.3305,-337.9956,-74.9784,40.4965,-181.4586,-289.9941
41,PLR110,unexpected_w,1,post,3rd,1003,4812,12,0,2017.5174,-63.8395,55.8469,133.603,69.8238,64.2722,-192.3341,27.5918,65.9372,-219.8044,-244.3286,-389.6724,-1016.7794,-1053.6335,-956.0634,-785.0793,-538.2103,-253.4834,-150.6428,-19.645,4.9567
42,PLR110,anticipated_b,0,post,3rd,1003,4812,13,0,1761.2438,-26.6194,21.2188,110.5337,120.5652,130.8724,181.5946,273.4879,400.4909,506.6184,549.0022,474.3671,651.5498,1085.9823,1419.7782,1307.6425,-104.3464,-333.2416,-269.2142,-85.203,191.2591
43,PLR110,unexpected_b,0,post,3rd,1002,4812,13,0,2362.0605,-80.3467,79.6923,76.0721,-81.6187,-241.9601,-368.8883,-468.4782,-717.4747,-748.0401,-593.261,-416.1935,-153.043,198.7164,625.1529,713.563,-689.323,-910.332,-715.6716,-614.3738,-439.5865
44,PLR110,unexpected_b,0,post,3rd,1003,4810,14,0,2490.0448,15.5454,-12.3489,-10.6582,138.9156,78.6042,84.5956,-287.5251,-337.1485,-132.9609,102.7898,347.0181,586.7236,860.2878,1189.5941,1170.7148,-434.4884,-782.4045,-575.8271,-293.114,-155.6016
