trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window38,window418,window798,window1178,window1558,window1938,window2318,window2698,window3078,window3458,window3838,window4218,window4598,window4978,window5358,window5738,window6118,window6498,window6878,window7258
1,PLR110,anticipated_w,1,pre,1st,1000,4838,1,1,3789.8014,3761.0454,3824.7738,4025.792,4230.1682,4311.3919,4435.38,4440.0288,4504.0471,4476.7993,4433.3779,4235.8793,2436.8025,1965.3703,2342.826,2369.522,2509.4387,3131.4335,3504.127,3723.012,3793.2197
2,PLR110,anticipated_w,1,pre,1st,1003,4810,2,1,3859.1082,3807.3923,3907.0823,4051.3591,4253.3602,4157.5897,4228.6313,4189.5734,4174.1497,4266.5588,4163.567,3789.1094,2206.1232,1831.4534,1988.7713,2108.6043,2501.8223,3051.2752,3396.4817,3692.4727,3854.1694
3,PLR110,anticipated_w,1,pre,1st,1002,4808,3,1,4137.6316,4112.1494,4158.3478,4229.7548,4221.6188,4154.2655,4251.1663,4207.0331,3898.2706,3785.6418,3841.0435,3647.8095,2056.8117,1742.6255,1615.8703,1566.9912,1995.381,2642.5984,2996.0233,3112.5544,2975.2265
4,PLR110,anticipated_b,0,pre,1st,1002,4812,1,0,3623.7171,3532.8083,3704.1259,3929.8762,4045.1839,3987.5846,4161.2915,4146.5205,3998.9874,3899.2392,3923.1957,3907.9347,4179.7709,4493.8863,4799.8318,4807.9371,3055.4629,2578.9136,2585.9187,2507.5743,2658.9948
5,PLR110,anticipated_w,1,pre,1st,1002,4810,4,1,3141.1724,3031.2284,3228.2196,3453.1663,3626.796,3719.7202,3735.5332,3789.8478,3975.8496,4085.5207,4225.2686,4050.6697,2307.584,1839.7783,2069.7034,2162.3155,2478.3425,2989.9809,3326.0823,3411.6718,3476.3176
6,PLR110,anticipated_b,0,pre,1st,1003,4812,2,0,3186.2588,3257.8871,3114.5762,3340.2668,3629.636,3824.4701,3904.4556,3911.2544,3819.8645,3908.0081,3979.1696,4050.9626,4274.244,4555.336,4789.8256,4666.6858,2786.4955,2397.8684,2628.9427,2955.0864,2983.0962
7,PLR110,unexpected_b,0,pre,1st,1002,4810,1,0,3722.3166,3702.8219,3746.7513,3705.56,3877.1112,4043.1816,4009.1787,3982.9424,4080.1153,3830.1887,3855.6043,4067.6173,4258.0306,4540.8097,4881.8664,4882.2214,3253.9412,2757.0822,2914.0222,3132.4675,3013.518
8,PLR110,anticipated_w,1,pre,1st,1002,4810,5,1,3482.357,3480.2856,3478.7458,3511.3239,3691.8375,3802.2387,3908.8722,3888.5493,3887.5781,3932.0831,4045.3519,3722.917,2152.7906,1834.2711,2072.0806,2067.6015,2423.6595,2977.1967,3207.5628,3461.9855,3569.6754
9,PLR110,anticipated_w,1,pre,2nd,1002,4812,6,0,3694.1497,3687.1205,3693.0548,3858.648,3912.004,3902.0818,3668.918,3527.6527,3501.9957,3565.8187,3441.4035,3245.111,1834.353,1609.0212,1674.2443,1775.2533,2051.3592,2599.409,2944.7435,3105.1439,3116.5053
10,PLR110,unexpected_w,1,pre,1st,1003,4808,2,0,3426.3048,3547.9006,3303.3395,3509.0692,3809.3703,3768.7806,3737.842,3647.4052,3546.3296,3690.7664,3773.9698,3403.5098,1889.6103,1632.7698,1734.7229,1988.904,2418.4147,2647.6684,2837.1982,2934.0369,3058.4625
11,PLR110,unexpected_b,0,pre,1st,1003,4812,3,0,2877.1892,2810.5888,2925.9652,3190.9209,3230.7195,3263.2981,3151.3764,3229.1394,3323.7409,3553.3942,3785.9208,3929.2805,4089.3971,4364.7726,4664.8345,4554.0766,2752.3985,2328.308,2578.1843,2840.8316,2939.5384
12,PLR110,anticipated_b,0,pre,1st,1003,4810,3,0,3152.3588,3219.254,3098.9006,2961.2255,3159.9737,3335.2701,3301.4542,3350.8059,3507.9344,3720.4322,3901.4914,3886.8772,4051.3985,4323.7832,4641.8525,4515.1663,2561.914,2008.7941,2116.1526,2138.7421,2117.6097
13,PLR110,anticipated_w,1,pre,2nd,1002,4810,7,1,2511.1195,2380.4825,2636.8114,2701.2864,2607.6714,2552.0285,2751.2222,2736.1588,2743.4951,2917.7397,2913.97,2540.1206,1662.8965,1516.066,1701.8505,1700.1343,2201.5449,2680.5966,3016.8704,3150.1569,3001.3172
14,PLR110,anticipated_b,0,pre,1st,1003,4812,4,1,2670.8172,2660.4053,2674.7277,2874.4048,2875.4163,2884.22,3104.523,3216.4069,3291.0979,3206.2106,3239.6987,3483.8492,3781.8056,4167.2575,4496.1132,4423.1923,2616.069,2400.3207,2800.2855,2857.3038,2942.9304
15,PLR110,unexpected_b,0,pre,1st,1003,4810,4,0,3895.2444,3824.7737,3967.487,3868.5354,3661.4278,3210.1888,2989.4341,3094.8553,3197.4997,3388.9442,3576.3692,3604.4915,3685.791,4065.3012,4417.349,4356.4562,2557.7316,1972.9326,2007.6535,2185.5688,2393.9063
16,PLR110,anticipated_w,1,pre,2nd,1002,4810,8,1,2581.1645,2453.9393,2698.6914,2772.6372,2720.2953,2739.2932,2765.9869,2764.2604,2655.3942,2650.214,2745.8381,2654.0082,1574.2841,1431.2252,1555.3777,1788.1558,2068.646,2410.6734,2561.9304,2547.0782,2630.1738
