trialNumber,subid,condition,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4,window5,window6,window7,window8,window9,window10,window11,window12,window13,window14,window15,window16,window17,window18,window19,window20
1,PLR110,anticipated_w,pre,1st,1000,4838,1,1,3652.716,108.6034,171.3678,373.1112,577.8913,658.3468,783.4149,786.8442,851.7604,824.195,780.572,590.8547,-1222.8521,-1689.7998,-1308.5589,-1283.5118,-1144.7579,-520.5642,-148.1191,76.0417,107.8673
2,PLR110,anticipated_w,pre,1st,1003,4810,2,1,3779.834,27.1503,127.4435,271.0822,475.077,376.5011,448.9461,409.7576,394.1817,487.0089,384.0979,16.1817,-1580.4047,-1949.1953,-1790.9597,-1672.2895,-1278.4309,-727.8968,-383.4727,-86.9335,75.3492
3,PLR110,anticipated_w,pre,1st,1002,4808,3,1,3865.328,247.2479,292.5778,365.028,356.7034,288.0333,386.3003,342.4783,32.1694,-79.9772,-24.2756,-210.2076,-1815.2233,-2122.8097,-2249.5531,-2299.9563,-1870.3594,-1221.9982,-868.9982,-751.5165,-891.2181
4,PLR110,anticipated_b,pre,1st,1002,4812,1,0,3604.692,-72.1475,99.3604,325.4598,441.8577,381.0619,557.7007,541.9101,394.3394,294.0357,319.02,302.4546,574.8054,889.0462,1195.397,1211.9886,-556.8177,-1026.6763,-1017.7705,-1098.4512,-945.2208
5,PLR110,anticipated_w,pre,1st,1002,4810,4,1,3021.652,8.0025,207.2433,431.3846,605.3899,698.1438,714.0757,767.437,954.5522,1063.6726,1203.8087,1036.7668,-720.9504,-1183.6625,-950.7934,-860.2489,-543.7986,-31.3169,305.1229,390.2066,454.1281
6,PLR110,anticipated_b,pre,1st,1003,4812,2,0,3417.0596,-179.6702,-304.4104,-76.4627,212.8462,407.7519,487.7153,494.6053,402.108,490.6891,562.4797,633.6263,856.5687,1138.5268,1373.2703,1258.82,-639.2271,-1020.0858,-789.0648,-460.2533,-435.4575
7,PLR110,unexpected_b,pre,1st,1002,4810,1,0,3529.418,173.6815,218.1003,175.0584,347.6082,514.6029,479.8176,453.0794,552.3045,299.0061,326.0323,538.1736,728.5768,1010.781,1353.2312,1361.2365,-282.9101,-774.1143,-615.4075,-395.3081,-516.8683
8,PLR110,anticipated_w,pre,1st,1002,4810,5,1,3752.306,-273.861,-272.5573,-241.861,-60.1437,49.605,156.8301,136.1443,135.5212,179.0553,294.338,-23.4578,-1605.4526,-1919.4317,-1679.0966,-1686.1646,-1329.107,-774.0285,-545.2903,-289.4945,-182.5259
9,PLR110,anticipated_w,pre,2nd,1002,4812,6,0,3971.052,-284.1881,-278.9787,-111.5127,-59.0939,-68.0311,-302.6279,-443.6489,-469.586,-404.1777,-530.764,-719.4133,-2142.7117,-2362.1881,-2297.3975,-2196.1148,-1920.5808,-1370.9002,-1025.8949,-865.2667,-855.2981
10,PLR110,unexpected_w,pre,1st,1003,4808,2,0,3522.2763,16.978,-221.203,-13.6794,288.5352,245.8127,215.7708,125.5405,22.8127,169.0012,252.1792,-112.7632,-1638.5747,-1890.203,-1787.6376,-1533.8417,-1103.2868,-874.6742,-684.5381,-588.4334,-463.7842
11,PLR110,unexpected_b,pre,1st,1003,4812,3,0,3028.996,-219.5876,-103.6452,162.6951,201.5119,235.1244,121.4019,200.1663,294.4647,524.6951,757.0511,900.3181,1059.8836,1335.47,1637.0825,1533.8469,-284.7709,-702.3206,-451.1007,-187.3834,-89.907
12,PLR110,anticipated_b,pre,1st,1003,4810,3,0,3376.678,-156.3063,-277.7775,-416.6361,-216.4162,-40.5157,-75.9921,-26.2277,131.5314,343.5524,525.4477,509.5471,674.3377,975.3534,1265.8927,1147.877,-822.7199,-1369.8194,-1260.1387,-1237.6047,-1259.3377
13,PLR110,anticipated_w,pre,2nd,1002,4810,7,1,2155.764,224.4873,482.1679,545.7962,451.8538,394.9742,596.7334,579.8014,587.2203,761.9166,759.9062,388.2046,-497.5179,-640.7954,-452.5493,-457.7326,46.3512,525.2726,861.2988,995.3355,845.3041
14,PLR110,anticipated_b,pre,1st,1003,4812,4,1,2786.13,-125.4808,-117.358,62.2786,89.2731,97.1527,318.9695,430.4878,505.2313,419.9066,453.1004,697.3203,995.7077,1381.0847,1710.6292,1646.1841,-178.8473,-387.2347,15.4459,71.1213,156.4669
15,PLR110,unexpected_b,pre,1st,1003,4810,4,0,3496.506,327.672,472.2479,354.0211,70.7217,-287.9248,-507.8358,-401.15,-299.4694,-107.5898,80.1327,108.2898,187.9076,569.1746,921.4888,868.7977,-946.4065,-1524.7311,-1489.0296,-1311.0662,-1102.9248
16,PLR110,anticipated_w,pre,2nd,1002,4810,8,1,2553.2444,-100.1502,146.7451,219.3891,166.698,186.3315,212.3996,211.2373,102.1483,96.2687,192.9022,106.4676,-984.3491,-1122.5481,-998.4643,-764.8884,-485.0926,-141.7732,9.232,-6.4276,76.8551
17,PLR110,unexpected_w,pre,1st,1003,4810,5,0,2424.8516,-381.8778,-175.8882,157.583,324.1694,398.672,460.6039,580.3893,544.1851,314.9181,351.9704,212.5673,-977.5322,-1192.6526,-1063.4275,-851.5689,-544.2757,-135.3542,-1.5636,123.227,44.7243
18,PLR110,anticipated_w,pre,2nd,1002,4810,9,1,1928.773,-157.9092,-103.2128,156.0647,275.227,491.0699,590.8971,672.0018,788.8029,790.3107,453.3003,269.384,-655.7521,-749.0872,-643.328,-458.1919,-91.0505,332.9285,579.9547,722.2374,636.3175
19,PLR110,unexpected_w,pre,2nd,1002,4808,6,0,2073.8601,-179.4227,-275.6455,-80.2423,174.632,323.8938,412.8205,518.3388,614.9357,762.1661,888.0247,650.4959,-641.724,-711.3156,-496.5565,-381.1219,8.9566,388.6791,603.1399,774.5273,938.1085
