trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4,window5,window6,window7,window8,window9,window10,window11,window12,window13,window14,window15,window16,window17,window18,window19,window20
1,PLR110,anticipated_w,1,pre,1st,1000,4838,1,1,3652.716,3761.3194,3824.0838,4025.8272,4230.6073,4311.0628,4436.1309,4439.5602,4504.4764,4476.911,4433.288,4243.5707,2429.8639,1962.9162,2344.1571,2369.2042,2507.9581,3132.1518,3504.5969,3728.7577,3760.5833
2,PLR110,anticipated_w,1,pre,1st,1003,4810,2,1,3779.834,3806.9843,3907.2775,4050.9162,4254.911,4156.3351,4228.7801,4189.5916,4174.0157,4266.8429,4163.9319,3796.0157,2199.4293,1830.6387,1988.8743,2107.5445,2501.4031,3051.9372,3396.3613,3692.9005,3855.1832
3,PLR110,anticipated_w,1,pre,1st,1002,4808,3,1,3865.328,4112.5759,4157.9058,4230.356,4222.0314,4153.3613,4251.6283,4207.8063,3897.4974,3785.3508,3841.0524,3655.1204,2050.1047,1742.5183,1615.7749,1565.3717,1994.9686,2643.3298,2996.3298,3113.8115,2974.1099
4,PLR110,anticipated_b,0,pre,1st,1002,4812,1,0,3604.692,3532.5445,3704.0524,3930.1518,4046.5497,3985.7539,4162.3927,4146.6021,3999.0314,3898.7277,3923.712,3907.1466,4179.4974,4493.7382,4800.089,4816.6806,3047.8743,2578.0157,2586.9215,2506.2408,2659.4712
5,PLR110,anticipated_w,1,pre,1st,1002,4810,4,1,3021.652,3029.6545,3228.8953,3453.0366,3627.0419,3719.7958,3735.7277,3789.089,3976.2042,4085.3246,4225.4607,4058.4188,2300.7016,1837.9895,2070.8586,2161.4031,2477.8534,2990.3351,3326.7749,3411.8586,3475.7801
6,PLR110,anticipated_b,0,pre,1st,1003,4812,2,0,3417.0596,3237.3894,3112.6492,3340.5969,3629.9058,3824.8115,3904.7749,3911.6649,3819.1675,3907.7487,3979.5393,4050.6859,4273.6283,4555.5864,4790.3298,4675.8796,2777.8325,2396.9738,2627.9948,2956.8063,2981.6021
7,PLR110,unexpected_b,0,pre,1st,1002,4810,1,0,3529.418,3703.0995,3747.5183,3704.4764,3877.0262,4044.0209,4009.2356,3982.4974,4081.7225,3828.4241,3855.4503,4067.5916,4257.9948,4540.199,4882.6492,4890.6545,3246.5079,2755.3037,2914.0105,3134.1099,3012.5497
8,PLR110,anticipated_w,1,pre,1st,1002,4810,5,1,3752.306,3478.445,3479.7487,3510.445,3692.1623,3801.911,3909.1361,3888.4503,3887.8272,3931.3613,4046.644,3728.8482,2146.8534,1832.8743,2073.2094,2066.1414,2423.199,2978.2775,3207.0157,3462.8115,3569.7801
9,PLR110,anticipated_w,1,pre,2nd,1002,4812,6,0,3971.052,3686.8639,3692.0733,3859.5393,3911.9581,3903.0209,3668.4241,3527.4031,3501.466,3566.8743,3440.288,3251.6387,1828.3403,1608.8639,1673.6545,1774.9372,2050.4712,2600.1518,2945.1571,3105.7853,3115.7539
10,PLR110,unexpected_w,1,pre,1st,1003,4808,2,0,3522.2763,3539.2543,3301.0733,3508.5969,3810.8115,3768.089,3738.0471,3647.8168,3545.089,3691.2775,3774.4555,3409.5131,1883.7016,1632.0733,1734.6387,1988.4346,2418.9895,2647.6021,2837.7382,2933.8429,3058.4921
11,PLR110,unexpected_b,0,pre,1st,1003,4812,3,0,3028.996,2809.4084,2925.3508,3191.6911,3230.5079,3264.1204,3150.3979,3229.1623,3323.4607,3553.6911,3786.0471,3929.3141,4088.8796,4364.466,4666.0785,4562.8429,2744.2251,2326.6754,2577.8953,2841.6126,2939.089
12,PLR110,anticipated_b,0,pre,1st,1003,4810,3,0,3376.678,3220.3717,3098.9005,2960.0419,3160.2618,3336.1623,3300.6859,3350.4503,3508.2094,3720.2304,3902.1257,3886.2251,4051.0157,4352.0314,4642.5707,4524.555,2553.9581,2006.8586,2116.5393,2139.0733,2117.3403
13,PLR110,anticipated_w,1,pre,2nd,1002,4810,7,1,2155.764,2380.2513,2637.9319,2701.5602,2607.6178,2550.7382,2752.4974,2735.5654,2742.9843,2917.6806,2915.6702,2543.9686,1658.2461,1514.9686,1703.2147,1698.0314,2202.1152,2681.0366,3017.0628,3151.0995,3001.0681
14,PLR110,anticipated_b,0,pre,1st,1003,4812,4,1,2786.13,2660.6492,2668.772,2848.4086,2875.4031,2883.2827,3105.0995,3216.6178,3291.3613,3206.0366,3239.2304,3483.4503,3781.8377,4167.2147,4496.7592,4432.3141,2607.2827,2398.8953,2801.5759,2857.2513,2942.5969
15,PLR110,unexpected_b,0,pre,1st,1003,4810,4,0,3496.506,3824.178,3968.7539,3850.5271,3567.2277,3208.5812,2988.6702,3095.356,3197.0366,3388.9162,3576.6387,3604.7958,3684.4136,4065.6806,4417.9948,4365.3037,2550.0995,1971.7749,2007.4764,2185.4398,2393.5812
16,PLR110,anticipated_w,1,pre,2nd,1002,4810,8,1,2553.2444,2453.0942,2699.9895,2772.6335,2719.9424,2739.5759,2765.644,2764.4817,2655.3927,2649.5131,2746.1466,2659.712,1568.8953,1430.6963,1554.7801,1788.356,2068.1518,2411.4712,2562.4764,2546.8168,2630.0995
17,PLR110,unexpected_w,1,pre,1st,1003,4810,5,0,2424.8516,2042.9738,2248.9634,2582.4346,2749.0209,2823.5236,2885.4555,3005.2408,2969.0366,2739.7696,2776.822,2637.4188,1447.3194,1232.199,1361.4241,1573.2827,1880.5759,2289.4974,2423.288,2548.0785,2469.5759
18,PLR110,anticipated_w,1,pre,2nd,1002,4810,9,1,1928.773,1770.8639,1825.5602,2084.8377,2204,2419.8429,2519.6702,2600.7749,2717.5759,2719.0838,2382.0733,2198.1571,1273.0209,1179.6859,1285.445,1470.5812,1837.7225,2261.7016,2508.7277,2651.0105,2565.0906
19,PLR110,unexpected_w,1,pre,2nd,1002,4808,6,0,2073.8601,1894.4374,1798.2147,1993.6178,2248.4921,2397.7539,2486.6806,2592.199,2688.7958,2836.0262,2961.8848,2724.356,1432.1361,1362.5445,1577.3037,1692.7382,2082.8168,2462.5393,2677,2848.3874,3011.9686
20,PLR110,unexpected_w,1,pre,2nd,1003,4810,7,0,2855.336,2645.8696,2611.2775,2926.6806,3100.9424,2990.5707,2930.4555,2917.4398,2926.6911,2906.3927,3014.6335,2814.4555,1491.4084,1297.7487,1415.8848,1619.6126,2007.0262,2379.733,2491.2304,2637.1099,2662.3717
21,PLR110,anticipated_b,0,pre,1st,1003,4810,5,0,2816.3704,2626.3613,2636.0157,2825.8743,3020.9686,3189.5497,3311.7068,3314.1204,3165.5916,3073.1937,2959.1937,3032.7853,3179.0838,3614.5759,3988.4031,3923.9791,2263.3141,1866.4266,2118.6131,2276.8848,2441.0105
22,PLR110,anticipated_w,1,pre,2nd,1003,4812,10,1,3094.2,2807.5288,2817.6597,3017.555,3034.4764,2974.5079,2999.6335,2966.2461,2973.5079,3063.1047,2972.1047,2757.199,1612.4712,1460.4555,1624.4974,1837.5864,2148.7644,2582.6178,2829.1885,2780.187,2700.7882
23,PLR110,anticipated_w,1,post,3rd,1002,4812,11,0,2610.87,2587.3141,2693.6963,2832.4293,3001.8377,2880.3141,2907.911,2880.9791,2968.712,2878.5497,2789.644,2494.9372,1350.377,1179.5445,1255.5079,1315.5497,1655.6545,2052.3508,2343.9634,2503.3403,2414.3613
24,PLR110,anticipated_w,1,post,3rd,1002,4810,12,1,2110.2604,2302.4398,2434.0209,2603.8325,2621,2773.8115,2827.5864,2472.5707,2570.1571,2394.9058,2123.5393,1995.0366,1188.0471,1106.267,1114.6963,1127.0419,1419.7487,1859.8586,2122.6178,2195.4921,2281.9286
25,PLR110,anticipated_w,1,post,3rd,1002,4810,13,0,2498.866,2420.7382,2395.3927,2392.4607,2486.534,2347.4398,2376.5026,2405.7853,2378.9058,2509.0105,2407.0052,2083.5183,1209.7382,1145.7853,1189.2251,1207.8063,1570.1361,1912.1571,2109.3194,2302.9738,2244.3246
26,PLR110,anticipated_b,0,pre,2nd,1002,4810,6,0,2280.04,2493.199,2558.9895,2604.594,2624.5238,2373.8063,2325.2618,2355.5497,2403.1414,2563.3822,2598.9686,2608.9058,2814.6859,3245.801,3694.6963,3777.0628,2198.2932,1875.3141,2114.7644,2198.267,2324.9319
27,PLR110,unexpected_w,1,pre,2nd,1002,4810,8,0,2795.206,2798.9895,2729.8953,2819.6272,2692.2019,2453.356,2433.7068,2672.2827,2739.9476,2881.7696,3029.0942,2911.8534,1568.9634,1464.4241,1606.5393,1624.9267,1991.1309,2378.445,2508.7016,2519.6593,2289.8704
