subid	 subage	 gender	 EST	 correct	 feedback	 blockNr	 keyPressed	 trialNumber	 WhichStim	 WhichCue	 ReactionTime	 KeyOrder
113	22	 M	0	1	1	2	0	1	0	182	403.14	1
113	22	 M	0	0	0	2	0	2	1	182	444.00	1
113	22	 M	0	1	1	2	0	3	0	231	399.73	1
113	22	 M	0	1	1	2	0	4	0	231	228.76	1
113	22	 M	0	0	0	2	0	5	0	182	222.61	1
113	22	 M	0	1	0	2	1	6	1	281	269.06	1
113	22	 M	0	1	1	2	0	7	0	231	206.96	1
113	22	 M	0	1	1	2	0	8	0	231	191.75	1
113	22	 M	0	1	1	2	0	9	0	231	197.23	1
113	22	 M	0	1	0	2	0	10	0	231	230.61	1
113	22	 M	0	1	0	2	0	11	0	281	343.70	1
113	22	 M	0	1	1	2	0	12	0	231	192.31	1
113	22	 M	0	1	1	2	1	13	1	132	179.13	1
113	22	 M	0	1	0	2	1	14	1	182	336.44	1
113	22	 M	0	1	0	2	1	15	1	132	218.24	1
113	22	 M	0	1	1	2	1	16	1	132	166.43	1
113	22	 M	0	1	0	2	1	17	1	132	219.05	1
113	22	 M	0	1	0	2	0	18	0	231	196.33	1
113	22	 M	0	1	1	2	1	19	1	132	150.04	1
113	22	 M	0	1	0	2	1	20	1	132	224.98	1
113	22	 M	0	1	0	2	1	21	1	132	207.08	1
113	22	 M	0	1	0	2	0	22	0	231	187.49	1
113	22	 M	0	1	0	2	1	23	1	281	222.65	1
113	22	 M	0	1	0	2	1	24	1	132	184.80	1
113	22	 M	0	1	1	2	0	25	0	231	173.43	1
113	22	 M	0	1	0	2	0	26	0	231	231.46	1
113	22	 M	0	1	0	2	1	27	1	182	421.94	1
113	22	 M	0	1	0	2	0	28	0	231	209.13	1
113	22	 M	0	1	0	2	1	29	1	132	196.04	1
113	22	 M	0	1	1	2	1	30	1	132	85.15	1
113	22	 M	0	0	0	2	0	31	1	281	448.85	1
113	22	 M	0	1	0	2	1	32	1	132	193.37	1
113	22	 M	0	1	0	2	0	33	0	231	170.28	1
113	22	 M	0	1	0	2	1	34	1	182	325.91	1
113	22	 M	0	1	0	2	1	35	1	132	477.23	1
113	22	 M	0	1	0	2	1	36	1	132	199.52	1
113	22	 M	0	1	0	2	0	37	0	231	70297.42	1
113	22	 M	0	1	0	2	1	38	1	132	253.58	1
113	22	 M	0	1	0	2	0	39	0	182	469.00	1
113	22	 M	0	1	0	2	0	40	0	182	516.51	1
113	22	 M	0	1	0	2	0	41	0	231	589.08	1
113	22	 M	0	1	0	2	1	42	1	132	322.38	1
113	22	 M	0	0	0	2	0	43	0	231	217.03	1
113	22	 M	0	1	0	2	0	44	0	231	449.70	1
113	22	 M	0	1	0	2	1	45	1	281	240.15	1
113	22	 M	0	1	0	2	1	46	1	132	185.45	1
113	22	 M	0	1	0	2	0	47	0	182	207.00	1
113	22	 M	0	1	1	2	1	48	1	132	78.69	1
113	22	 M	0	1	0	2	0	49	0	281	341.25	1
113	22	 M	0	1	0	2	1	50	1	132	165.98	1
113	22	 M	0	0	0	2	0	51	0	281	283.44	1
113	22	 M	0	0	0	2	0	52	1	281	370.84	1
113	22	 M	0	1	0	2	0	53	0	231	192.52	1
113	22	 M	0	1	0	2	0	54	0	231	13647.69	1
113	22	 M	0	1	0	2	0	55	0	231	213.43	1
113	22	 M	0	1	0	2	1	56	1	132	191.61	1
113	22	 M	0	1	0	2	1	57	1	132	187.35	1
113	22	 M	0	1	0	2	1	58	1	182	361.76	1
113	22	 M	0	1	0	2	0	59	0	281	325.56	1
113	22	 M	0	1	0	2	0	60	0	281	206.95	1
114	21	 F	0	1	1	2	0	1	0	281	780.56	1
114	21	 F	0	1	1	2	1	2	1	182	362.60	1
114	21	 F	0	1	0	2	1	3	1	132	457.29	1
114	21	 F	0	1	0	2	0	4	0	231	390.99	1
114	21	 F	0	1	0	2	0	5	0	281	448.98	1
114	21	 F	0	1	0	2	1	6	1	281	392.31	1
114	21	 F	0	1	1	2	0	7	0	231	213.89	1
114	21	 F	0	1	1	2	1	8	1	132	231.89	1
114	21	 F	0	1	1	2	0	9	0	231	220.40	1
114	21	 F	0	1	1	2	0	10	0	231	226.13	1
114	21	 F	0	1	0	2	1	11	1	132	259.39	1
114	21	 F	0	1	1	2	1	12	1	132	221.85	1
114	21	 F	0	1	0	2	0	13	0	182	244.06	1
114	21	 F	0	1	1	2	0	14	0	231	218.52	1
114	21	 F	0	1	0	2	0	15	0	231	339.96	1
114	21	 F	0	1	1	2	0	16	0	231	221.78	1
114	21	 F	0	1	0	2	1	17	1	281	353.19	1
114	21	 F	0	1	1	2	1	18	1	132	187.79	1
114	21	 F	0	1	0	2	0	19	0	231	44714.04	1
114	21	 F	0	1	0	2	0	20	0	231	407.70	1
114	21	 F	0	1	0	2	1	21	1	281	323.12	1
114	21	 F	0	1	0	2	0	22	0	231	241.86	1
114	21	 F	0	1	0	2	1	23	1	132	296.99	1
114	21	 F	0	1	0	2	0	24	0	231	233.70	1
114	21	 F	0	1	1	2	1	25	1	132	202.79	1
114	21	 F	0	1	0	2	0	26	0	231	245.39	1
114	21	 F	0	1	0	2	1	27	1	182	393.88	1
114	21	 F	0	1	0	2	0	28	0	231	253.29	1
114	21	 F	0	1	0	2	1	29	1	132	246.79	1
114	21	 F	0	1	0	2	0	30	0	182	220.99	1
114	21	 F	0	1	0	2	1	31	1	182	291.77	1
114	21	 F	0	1	0	2	1	32	1	132	315.10	1
114	21	 F	0	1	0	2	0	33	0	231	280.12	1
114	21	 F	0	1	0	2	1	34	1	132	342.39	1
114	21	 F	0	1	0	2	1	35	1	132	281.75	1
114	21	 F	0	1	0	2	1	36	1	132	289.24	1
114	21	 F	0	1	0	2	1	37	1	132	226.35	1
114	21	 F	0	1	0	2	1	38	1	132	286.68	1
114	21	 F	0	1	0	2	0	39	0	231	239.10	1
114	21	 F	0	1	0	2	0	40	0	182	448.70	1
114	21	 F	0	1	0	2	1	41	1	281	300.14	1
114	21	 F	0	1	0	2	1	42	1	132	415.72	1
114	21	 F	0	1	0	2	1	43	1	132	238.81	1
114	21	 F	0	0	0	2	0	44	1	182	1244.39	1
114	21	 F	0	1	0	2	1	45	1	132	431.38	1
114	21	 F	0	1	0	2	0	46	0	281	471.05	1
114	21	 F	0	1	0	2	1	47	1	281	473.34	1
114	21	 F	0	1	0	2	0	48	0	281	478.38	1
114	21	 F	0	1	0	2	0	49	0	231	286.55	1
114	21	 F	0	1	0	2	0	50	0	231	229.15	1
114	21	 F	0	1	0	2	0	51	0	182	435.73	1
114	21	 F	0	1	0	2	1	52	1	132	256.53	1
114	21	 F	0	1	0	2	0	53	0	281	350.44	1
114	21	 F	0	1	0	2	1	54	1	132	299.23	1
114	21	 F	0	1	0	2	0	55	0	182	431.93	1
114	21	 F	0	1	0	2	1	56	1	182	323.12	1
114	21	 F	0	1	0	2	0	57	0	231	238.46	1
114	21	 F	0	1	0	2	0	58	0	231	237.32	1
114	21	 F	0	1	0	2	0	59	0	231	236.80	1
114	21	 F	0	1	1	2	1	60	1	132	211.55	1
115	21	 F	0	1	1	2	1	1	1	132	975.30	1
115	21	 F	0	1	1	2	0	2	0	182	619.22	1
115	21	 F	0	1	1	2	1	3	1	132	210.54	1
115	21	 F	0	1	0	2	1	4	1	182	332.25	1
115	21	 F	0	1	1	2	1	5	1	132	234.51	1
115	21	 F	0	1	0	2	1	6	1	281	438.63	1
115	21	 F	0	1	0	2	1	7	1	132	279.48	1
115	21	 F	0	1	0	2	0	8	0	231	242.47	1
115	21	 F	0	1	0	2	0	9	0	281	676.56	1
115	21	 F	0	1	0	2	0	10	0	231	313.05	1
115	21	 F	0	1	1	2	1	11	1	132	227.46	1
115	21	 F	0	1	0	2	0	12	0	231	276.74	1
115	21	 F	0	1	0	2	1	13	1	132	270.78	1
115	21	 F	0	1	0	2	0	14	0	231	258.94	1
115	21	 F	0	1	0	2	0	15	0	281	592.28	1
115	21	 F	0	1	1	2	0	16	0	231	46.07	1
115	21	 F	0	1	0	2	0	17	0	231	200.95	1
115	21	 F	0	1	0	2	1	18	1	132	354.32	1
115	21	 F	0	1	0	2	1	19	1	132	383.11	1
115	21	 F	0	1	0	2	1	20	1	182	396.68	1
115	21	 F	0	1	0	2	0	21	0	231	141.75	1
115	21	 F	0	1	0	2	0	22	0	231	154.73	1
115	21	 F	0	0	0	2	0	23	0	281	250.64	1
115	21	 F	0	1	0	2	1	24	1	132	232.05	1
115	21	 F	0	0	0	2	1	25	0	231	33843.23	1
115	21	 F	0	1	0	2	0	26	0	231	256.97	1
115	21	 F	0	1	0	2	0	27	0	281	360.62	1
115	21	 F	0	1	0	2	0	28	0	281	356.78	1
115	21	 F	0	1	0	2	0	29	0	231	1068.70	1
115	21	 F	0	1	0	2	1	30	1	132	196.07	1
115	21	 F	0	1	0	2	1	31	1	132	184.40	1
115	21	 F	0	0	0	2	0	32	0	231	308.77	1
115	21	 F	0	1	0	2	1	33	1	281	562.40	1
115	21	 F	0	1	0	2	0	34	0	231	220.08	1
115	21	 F	0	1	1	2	1	35	1	132	51.34	1
115	21	 F	0	1	0	2	1	36	1	132	278.58	1
115	21	 F	0	1	0	2	0	37	0	231	343.65	1
115	21	 F	0	1	0	2	0	38	0	231	301.85	1
115	21	 F	0	0	0	2	0	39	1	132	192.79	1
115	21	 F	0	1	0	2	1	40	1	182	460.49	1
115	21	 F	0	1	0	2	0	41	0	231	286.02	1
115	21	 F	0	1	0	2	1	42	1	132	233.54	1
115	21	 F	0	1	0	2	0	43	0	182	373.74	1
115	21	 F	0	1	0	2	1	44	1	281	454.47	1
115	21	 F	0	1	0	2	0	45	0	182	485.72	1
115	21	 F	0	1	0	2	1	46	1	132	171.72	1
115	21	 F	0	1	0	2	0	47	0	182	531.38	1
115	21	 F	0	1	0	2	0	48	0	231	36494.75	1
115	21	 F	0	1	0	2	1	49	1	132	261.12	1
115	21	 F	0	1	0	2	1	50	1	132	269.79	1
115	21	 F	0	1	0	2	0	51	0	231	347.55	1
115	21	 F	0	1	0	2	1	52	1	182	435.98	1
115	21	 F	0	1	0	2	1	53	1	132	204.83	1
115	21	 F	0	1	0	2	1	54	1	281	652.10	1
115	21	 F	0	1	0	2	0	55	0	231	265.63	1
115	21	 F	0	1	0	2	0	56	0	231	194.65	1
115	21	 F	0	1	0	2	1	57	1	182	495.99	1
115	21	 F	0	1	0	2	1	58	1	132	218.20	1
115	21	 F	0	1	0	2	0	59	0	182	370.04	1
115	21	 F	0	1	0	2	1	60	1	281	481.68	1
119	34	 F	1	1	1	2	1	1	1	281	663.51	1
119	34	 F	1	1	1	2	0	2	0	231	672.74	1
119	34	 F	1	1	1	2	0	3	0	231	465.34	1
119	34	 F	1	1	1	2	0	4	0	231	345.15	1
119	34	 F	1	1	0	2	0	5	0	231	484.85	1
119	34	 F	1	1	1	2	1	6	1	132	256.31	1
119	34	 F	1	1	0	2	1	7	1	132	295.51	1
119	34	 F	1	1	0	2	1	8	1	182	414.89	1
119	34	 F	1	1	0	2	1	9	1	182	468.09	1
119	34	 F	1	1	0	2	1	10	1	281	386.06	1
119	34	 F	1	1	0	2	1	11	1	281	413.24	1
119	34	 F	1	1	1	2	0	12	0	231	251.36	1
119	34	 F	1	1	0	2	0	13	0	182	315.90	1
119	34	 F	1	0	0	2	1	14	0	182	15365.87	1
119	34	 F	1	1	0	2	0	15	0	281	423.75	1
119	34	 F	1	1	1	2	1	16	1	132	242.80	1
119	34	 F	1	1	1	2	0	17	0	231	214.04	1
119	34	 F	1	1	0	2	0	18	0	231	288.15	1
119	34	 F	1	1	0	2	1	19	1	132	397.11	1
119	34	 F	1	1	1	2	0	20	0	231	222.45	1
119	34	 F	1	1	0	2	0	21	0	231	294.99	1
119	34	 F	1	1	0	2	0	22	0	281	453.92	1
119	34	 F	1	1	1	2	0	23	0	281	238.58	1
119	34	 F	1	1	0	2	0	24	0	231	252.32	1
119	34	 F	1	1	1	2	1	25	1	132	206.76	1
119	34	 F	1	1	1	2	0	26	0	231	167.44	1
119	34	 F	1	1	0	2	0	27	0	281	245.81	1
119	34	 F	1	1	0	2	0	28	0	231	205.47	1
119	34	 F	1	1	0	2	0	29	0	231	479.62	1
119	34	 F	1	1	0	2	0	30	0	231	206.27	1
119	34	 F	1	1	0	2	0	31	0	231	259.07	1
119	34	 F	1	1	1	2	1	32	1	132	189.91	1
119	34	 F	1	1	1	2	0	33	0	231	188.88	1
119	34	 F	1	0	0	2	0	34	1	281	778.13	1
119	34	 F	1	1	0	2	1	35	1	132	290.07	1
119	34	 F	1	1	0	2	1	36	1	132	200.37	1
119	34	 F	1	1	0	2	1	37	1	132	202.03	1
119	34	 F	1	1	0	2	1	38	1	182	331.30	1
119	34	 F	1	1	0	2	1	39	1	132	231.31	1
119	34	 F	1	1	0	2	1	40	1	132	371.55	1
119	34	 F	1	1	0	2	1	41	1	132	235.84	1
119	34	 F	1	1	0	2	1	42	1	132	525.82	1
119	34	 F	1	1	0	2	0	43	0	281	319.79	1
119	34	 F	1	1	0	2	1	44	1	132	272.96	1
119	34	 F	1	1	0	2	0	45	0	182	464.73	1
119	34	 F	1	1	0	2	1	46	1	132	502.94	1
119	34	 F	1	1	1	2	0	47	0	231	79.82	1
119	34	 F	1	1	0	2	1	48	1	182	408.77	1
119	34	 F	1	1	0	2	0	49	0	182	441.49	1
119	34	 F	1	1	0	2	1	50	1	132	218.26	1
119	34	 F	1	1	0	2	0	51	0	231	217.10	1
119	34	 F	1	1	0	2	1	52	1	132	188.31	1
119	34	 F	1	1	0	2	1	53	1	132	210.84	1
119	34	 F	1	1	0	2	0	54	0	231	634.59	1
119	34	 F	1	1	0	2	1	55	1	132	418.25	1
119	34	 F	1	1	0	2	0	56	0	231	9298.74	1
119	34	 F	1	1	0	2	0	57	0	182	508.88	1
119	34	 F	1	1	0	2	1	58	1	281	240.31	1
119	34	 F	1	1	0	2	1	59	1	182	238.23	1
119	34	 F	1	1	0	2	1	60	1	132	180.69	1
120	60	 F	1	1	1	2	1	1	1	182	880.18	1
120	60	 F	1	1	1	2	1	2	1	132	758.71	1
120	60	 F	1	1	1	2	1	3	1	132	542.43	1
120	60	 F	1	1	1	2	1	4	1	132	291.09	1
120	60	 F	1	1	1	2	0	5	0	231	252.98	1
120	60	 F	1	1	0	2	0	6	0	231	378.84	1
120	60	 F	1	1	1	2	1	7	1	132	239.45	1
120	60	 F	1	1	0	2	1	8	1	182	591.86	1
120	60	 F	1	1	1	2	1	9	1	132	251.71	1
120	60	 F	1	1	0	2	0	10	0	231	287.22	1
120	60	 F	1	1	1	2	0	11	0	231	242.74	1
120	60	 F	1	1	1	2	1	12	1	132	263.64	1
120	60	 F	1	1	0	2	1	13	1	132	343.32	1
120	60	 F	1	0	0	2	1	14	0	281	494.64	1
120	60	 F	1	1	0	2	1	15	1	132	381.62	1
120	60	 F	1	1	1	2	1	16	1	132	243.46	1
120	60	 F	1	1	1	2	0	17	0	231	258.75	1
120	60	 F	1	1	0	2	1	18	1	281	487.52	1
120	60	 F	1	1	0	2	0	19	0	281	452.37	1
120	60	 F	1	1	1	2	0	20	0	231	235.12	1
120	60	 F	1	1	1	2	0	21	0	231	218.45	1
120	60	 F	1	1	1	2	1	22	1	132	209.79	1
120	60	 F	1	0	0	2	0	23	1	182	486.28	1
120	60	 F	1	1	0	2	0	24	0	231	245.62	1
120	60	 F	1	1	0	2	1	25	1	132	243.52	1
120	60	 F	1	1	0	2	0	26	0	182	856.29	1
120	60	 F	1	1	1	2	0	27	0	231	206.35	1
120	60	 F	1	1	1	2	0	28	0	231	226.14	1
120	60	 F	1	1	0	2	1	29	1	281	813.23	1
120	60	 F	1	1	0	2	1	30	1	281	609.20	1
120	60	 F	1	1	0	2	0	31	0	231	241.87	1
120	60	 F	1	1	0	2	1	32	1	132	275.55	1
120	60	 F	1	0	0	2	1	33	0	281	566.03	1
120	60	 F	1	1	0	2	1	34	1	132	676.13	1
120	60	 F	1	1	0	2	1	35	1	281	600.83	1
120	60	 F	1	1	0	2	1	36	1	182	568.91	1
120	60	 F	1	1	0	2	1	37	1	132	387.94	1
120	60	 F	1	1	0	2	1	38	1	132	233.96	1
120	60	 F	1	1	1	2	1	39	1	132	227.41	1
120	60	 F	1	1	0	2	1	40	1	132	290.96	1
120	60	 F	1	1	0	2	0	41	0	231	512.54	1
120	60	 F	1	1	0	2	0	42	0	281	634.97	1
120	60	 F	1	1	0	2	1	43	1	132	413.92	1
120	60	 F	1	1	0	2	0	44	0	182	647.55	1
